profesion,puestos ofertados
Desarrollador/a de software,11.775
Digital project manager,8.611
Profesional técnico TIC,6.969
Consultor/a TIC,6.579
Administrador/a de sistemas,6.013
Community manager,2.657
Arquitecto/a de software,2.554
Desarrollador/a full stack,2.470
QA tester,2.454
Especialista en marketing digital,2.246
Desarrollador/a frontend,2.155
Desarrollador/a backend,2.120
Analista de datos / BI,1.665
Diseñador/a gráfico,1.521
Diseñador/a o administrador/a de bases de datos,1.430
Especialista en ciberseguridad,1.276
Ingeniero/a de redes,1.172
Digital product manager,1.074
Ingeniero/a de datos,946
Ingeniero/a devops,934
Desarrollador/a móvil,891
Desarrollador/a web y multimedia,782
Especialista e-commerce,660
Especialista SEO & SEM,342
Científico/a de datos,319
Mostrar top 3,"Fuente: Infojobs, tecnoempleo.com y TicJob · Jul 2023–Oct 2023"
